fico_score,income,debt_to_income,num_open_trades,utilization_rate,inquiries_last_6m,loan_amount,term,apr,channel,product_type,employment_length,state,age,default_12m
790,94907,0.43,3,0.43,4,48677,36,27.92,Direct,Debt_Consolidation,12,IL,44,0
610,53728,0.78,12,0.37,5,37558,36,27.65,Direct,Debt_Consolidation,2,PA,23,0
713,62598,0.31,19,0.74,4,39910,36,20.22,Partner,Debt_Consolidation,30,IL,73,1
563,176476,0.38,20,0.78,9,38855,36,26.64,Partner,Personal,39,OH,70,0
710,129780,0.12,6,0.41,9,31907,36,26.17,Partner,Home_Improvement,30,Other,54,0
685,179927,0.39,7,0.28,4,15736,36,28.14,Partner,Home_Improvement,30,PA,43,0
752,110474,0.76,4,0.29,4,47801,36,15.39,Direct,Personal,12,PA,73,0
850,82726,0.19,16,0.23,3,4440,36,17.4,Partner,Personal,0,NC,56,0
697,104192,0.23,1,0.91,1,43749,60,11.97,Partner,Auto,11,CA,47,0
803,68840,0.75,9,0.88,0,20555,60,23.08,Mail,Debt_Consolidation,34,NY,54,0
784,189944,0.21,5,0.01,5,20334,60,25.23,Direct,Home_Improvement,25,OH,73,0
794,104830,0.75,0,0.26,3,30277,36,33.62,Direct,Home_Improvement,23,CA,65,0
709,50779,0.51,9,0.37,3,15360,36,19.35,Direct,Business,35,NY,51,0
591,157758,0.36,11,0.08,9,8353,36,29.86,Mail,Personal,10,PA,41,0
578,138864,0.11,13,0.46,0,37621,60,25.18,Direct,Personal,0,TX,68,1
580,38092,0.79,15,0.03,6,12795,36,27.97,Mail,Home_Improvement,24,NY,49,1
728,51098,0.14,17,0.39,2,48700,36,30.04,Partner,Business,34,NY,48,0
607,28445,0.65,13,0.61,0,16772,36,7.02,Partner,Debt_Consolidation,3,OH,36,1
698,81384,0.65,18,0.32,9,45075,36,12.11,Mail,Business,26,PA,40,1
768,165712,0.4,11,0.94,10,25979,60,14.56,Direct,Personal,34,NY,51,0
763,166089,0.42,12,0.24,3,22644,36,32.67,Partner,Personal,12,GA,24,1
850,196016,0.45,15,0.21,5,20869,36,11.35,Direct,Home_Improvement,30,NC,36,0
733,100851,,16,0.88,7,7462,60,27.85,Direct,Personal,2,FL,57,0
763,97382,0.12,10,0.23,9,17104,60,21.52,Mail,Debt_Consolidation,31,NC,67,1
827,188246,0.77,16,0.03,1,44792,36,27.93,Direct,Auto,9,TX,21,0
797,192827,0.39,0,0.53,6,1776,36,20.88,Direct,Business,27,CA,72,0
731,90077,0.64,2,0.37,6,31080,60,12.3,Partner,Personal,5,MI,62,0
793,34710,0.51,5,0.08,6,43264,36,21.98,Mail,Personal,2,PA,35,0
828,167720,0.53,5,0.93,5,2026,36,22.61,Partner,Home_Improvement,4,NY,40,1
719,120622,0.6,4,0.79,1,33819,36,6.61,Direct,Auto,39,FL,59,1
742,133206,0.15,18,0.66,,41541,36,28.94,Partner,Personal,40,TX,30,0
734,90717,0.08,2,0.19,7,37502,60,20.37,Direct,Personal,38,IL,59,1
674,169935,0.42,12,0.17,4,20734,36,19.79,Direct,Debt_Consolidation,30,NY,71,1
650,140025,0.09,9,0.01,6,22772,60,16.4,Mail,Debt_Consolidation,38,NY,29,0
801,170963,0.63,10,0.38,6,24921,36,32.96,Direct,Business,35,TX,22,0
585,127254,0.54,4,0.63,3,17559,36,26.46,Partner,Personal,30,Other,58,0
824,175666,0.51,2,0.11,3,44096,36,9.99,Partner,Home_Improvement,25,OH,69,0
815,166274,0.46,18,0.22,5,26633,60,28.17,Partner,Debt_Consolidation,1,FL,51,0
783,74229,0.42,11,0.48,7,48316,60,14.57,Direct,Auto,21,CA,62,1
832,61978,0.26,13,0.96,3,27545,36,10.59,Partner,Debt_Consolidation,12,GA,49,0
602,160742,0.15,10,0.2,1,18193,60,20.83,Partner,Home_Improvement,37,IL,28,0
702,181083,0.47,4,0.31,3,21013,36,10.49,Partner,Debt_Consolidation,8,NY,57,0
800,95716,0.11,10,0.84,9,4513,36,33.56,Direct,Personal,35,NY,53,0
635,41671,0.45,7,0.29,4,15735,60,13.66,Partner,Home_Improvement,31,NC,56,0
775,163223,0.17,13,0.1,10,17222,36,31.24,Direct,Personal,5,Other,49,0
729,179976,0.51,5,0.62,3,14562,36,22.1,Partner,Home_Improvement,18,TX,39,0
760,35541,0.79,20,0.13,2,17362,36,26.34,Partner,Auto,31,OH,30,0
597,125604,0.41,8,0.69,5,30798,60,14.82,Direct,Auto,29,GA,61,1
687,104637,0.66,10,0.55,2,38102,60,28.65,Mail,Auto,,CA,71,0
769,73036,0.8,4,1.24,4,11418,36,7.8,Direct,Personal,10,OH,24,0
617,175629,0.18,14,0.01,5,8903,36,25.82,Direct,Personal,6,CA,27,0
618,188185,0.79,4,0.07,9,1555,60,24.5,Direct,Home_Improvement,9,OH,47,1
729,132561,0.25,4,0.25,10,6521,36,21.6,Partner,Home_Improvement,1,NC,75,0
750,97474,0.52,7,0.49,1,16799,60,24.14,Direct,Auto,23,CA,41,0
587,24375,0.47,0,0.26,0,4962,36,20.2,Partner,Debt_Consolidation,25,NY,26,0
654,60731,0.43,12,0.59,10,45633,36,14.31,Direct,Business,15,TX,26,0
556,55969,0.56,5,0.5,5,35275,60,28.49,Partner,Personal,17,CA,67,0
582,88930,0.57,18,0.63,7,30831,60,15.8,Direct,Home_Improvement,16,FL,70,0
675,32053,0.38,12,0.92,2,3317,60,29.09,Partner,Home_Improvement,15,TX,47,0
576,67014,0.18,16,0.98,6,5517,60,30.98,Partner,Debt_Consolidation,29,CA,21,0
650,163277,0.61,7,0.15,6,2566,36,21.25,Partner,Home_Improvement,21,CA,21,0
671,130052,0.39,1,0.97,2,47638,36,7.79,Mail,Auto,23,PA,50,1
772,193655,0.77,7,0.29,5,26752,36,14.54,Direct,Personal,37,TX,27,1
656,138467,0.25,8,0.85,1,11329,36,29.79,Partner,Personal,20,MI,30,0
565,126008,0.68,17,0.75,3,7207,60,8.06,Partner,Personal,14,CA,29,1
850,87848,0.73,2,0.02,1,13959,60,29.28,Direct,Auto,7,MI,23,0
768,65300,0.28,5,0.27,7,10740,36,23.42,Partner,Home_Improvement,35,PA,51,1
819,85312,0.5,17,0.79,6,47751,36,19.39,Partner,Debt_Consolidation,20,IL,45,0
791,158787,0.29,18,1.0,2,7562,36,24.71,Direct,Auto,3,Other,69,0
638,66163,0.19,10,0.81,5,39768,36,26.1,Direct,Home_Improvement,12,CA,74,0
662,25224,0.42,0,0.33,9,14203,36,15.22,Direct,Auto,3,Other,22,1
736,39013,0.3,12,0.59,5,20776,36,9.09,Direct,Business,31,MI,62,0
639,119191,0.25,9,0.13,0,47006,60,16.75,Mail,Business,38,CA,41,0
622,106813,0.6,7,0.35,5,12002,36,29.65,Partner,Home_Improvement,0,FL,37,1
764,63604,0.71,15,0.88,5,36784,36,8.04,Direct,Auto,14,OH,31,0
603,39451,0.27,12,0.16,1,36851,36,15.14,Mail,Auto,27,GA,62,1
826,89537,0.53,9,0.24,0,26749,60,21.49,Direct,Personal,5,CA,39,0
699,41479,0.38,3,0.31,6,31863,60,31.85,Direct,Home_Improvement,23,NY,45,1
599,42467,0.53,17,0.41,9,15910,60,6.83,Direct,Debt_Consolidation,30,Other,57,0
807,169741,0.72,18,0.68,9,10663,36,33.48,Direct,Business,13,TX,72,1
682,103820,0.73,2,0.09,8,27041,60,14.78,Direct,Debt_Consolidation,39,Other,58,0
601,47691,0.45,3,0.79,8,23535,36,12.92,Partner,Home_Improvement,11,PA,38,0
575,144575,0.74,11,0.02,4,21378,36,30.29,Mail,Home_Improvement,14,Other,29,1
595,69266,0.35,13,0.74,8,25504,36,20.46,Direct,Debt_Consolidation,8,PA,70,1
783,33253,0.73,6,0.27,7,34103,36,24.06,Direct,Personal,38,NY,49,1
682,43695,0.23,12,0.05,9,15045,36,24.42,Partner,Personal,1,NY,70,0
706,188490,0.22,12,0.85,7,17514,36,19.0,Partner,Auto,6,NY,21,0
694,98243,0.55,15,0.06,4,42982,36,30.84,Direct,Home_Improvement,19,Other,33,0
621,26672,0.52,9,0.26,6,27515,36,27.1,Partner,Business,21,MI,67,0
733,152989,0.24,5,0.84,8,12870,36,7.93,Direct,Personal,11,MI,64,1
740,88304,0.47,14,0.85,7,4517,60,22.41,Partner,Debt_Consolidation,7,TX,64,0
652,109828,0.33,18,0.89,7,10386,36,30.87,Direct,Personal,11,FL,41,1
595,53922,0.49,20,0.43,6,32286,36,5.14,Partner,Home_Improvement,20,Other,69,0
726,101813,0.1,12,0.5,4,11945,36,29.72,Direct,Personal,38,GA,54,0
756,25013,0.18,4,0.21,0,39646,60,10.07,Direct,Home_Improvement,40,CA,37,0
560,32644,0.55,13,0.44,1,36866,36,19.23,Direct,Home_Improvement,19,OH,47,1
610,94109,0.09,3,0.5,9,14090,36,29.94,Mail,Debt_Consolidation,10,NY,23,0
556,196064,0.07,3,0.84,10,33381,36,33.48,Partner,Personal,16,GA,62,1
698,114428,0.64,10,0.43,1,7225,36,5.29,Direct,Home_Improvement,28,FL,60,1
754,139678,0.22,12,0.69,7,28639,36,8.39,Partner,Personal,10,Other,27,0
564,199428,0.7,4,0.48,7,8401,36,18.22,Direct,Home_Improvement,33,CA,70,0
815,157128,0.55,19,0.1,10,48621,36,19.46,Partner,Home_Improvement,35,CA,60,1
801,104052,0.19,8,0.05,3,37077,36,17.1,Direct,Debt_Consolidation,28,MI,26,0
602,125759,0.33,17,0.55,1,40597,60,24.13,Mail,Home_Improvement,29,OH,42,1
736,138628,0.09,7,0.0,5,42527,36,21.43,Direct,Personal,31,Other,29,0
611,122995,0.17,6,0.72,1,28162,36,32.8,Partner,Home_Improvement,28,NC,50,1
849,146597,0.74,5,0.69,2,48873,36,8.11,Partner,Home_Improvement,24,FL,47,0
700,138710,0.64,4,0.41,8,20589,60,30.82,Partner,Business,12,OH,34,1
807,162210,,10,0.71,5,37849,60,22.48,Mail,Home_Improvement,34,OH,39,0
577,195703,0.05,8,0.75,2,19783,36,9.39,Direct,Auto,34,TX,23,0
749,82284,0.41,9,0.69,0,26007,36,17.5,Partner,Home_Improvement,3,Other,21,0
665,186143,0.56,20,0.37,9,36822,60,10.89,Partner,Personal,4,NY,32,1
680,21479,0.26,4,0.04,5,40117,36,28.21,Partner,Auto,36,FL,56,0
584,152419,0.13,17,0.54,1,23898,36,31.5,Partner,Debt_Consolidation,39,FL,54,0
674,30453,0.55,10,0.38,1,26288,36,21.21,Direct,Business,23,MI,53,0
813,41586,0.76,5,0.97,8,35944,36,23.81,Direct,Home_Improvement,27,TX,74,0
628,26226,0.37,10,0.04,,4556,36,28.83,Partner,Home_Improvement,16,TX,47,0
823,21546,0.51,19,0.06,9,3982,36,15.73,Partner,Personal,38,GA,26,0
750,163058,0.24,20,0.14,10,48797,36,33.72,Direct,Auto,2,CA,21,0
726,75505,0.33,20,0.85,2,11548,36,11.62,Partner,Personal,36,TX,75,0
678,45743,0.16,18,0.49,5,24405,36,25.14,Direct,Personal,12,CA,41,0
840,115549,0.65,13,0.17,5,17133,36,26.37,Partner,Personal,21,FL,51,0
621,161195,0.16,20,0.08,1,2220,60,23.95,Partner,Home_Improvement,13,NC,23,0
737,122891,0.18,18,0.73,4,9774,60,20.03,Direct,Debt_Consolidation,15,CA,75,0
839,192861,0.7,4,0.74,7,24514,36,11.56,Direct,Personal,2,FL,63,1
573,30460,0.78,10,0.1,8,42521,36,30.05,Direct,Debt_Consolidation,24,TX,44,1
726,147627,0.63,19,0.01,2,29829,36,11.9,Partner,Personal,10,TX,44,0
608,146226,0.54,15,0.21,2,43418,36,5.67,Direct,Home_Improvement,40,TX,53,1
838,187148,0.01,9,0.95,3,30438,60,34.78,Mail,Personal,38,MI,30,0
725,138874,0.48,2,0.23,6,9664,36,5.5,Partner,Business,9,GA,59,0
796,192855,0.1,19,0.54,0,45470,36,20.66,Direct,Personal,14,PA,72,0
844,45615,0.34,8,0.48,3,6493,36,22.95,Partner,Personal,0,CA,57,0
768,190806,0.47,8,0.85,6,38006,36,23.36,Mail,Debt_Consolidation,35,TX,71,0
845,110270,0.62,12,0.74,10,8804,36,18.4,Partner,Personal,25,TX,71,0
596,58096,0.38,19,0.44,1,18241,36,16.13,Partner,Home_Improvement,25,Other,60,0
639,187848,0.4,0,0.2,10,34957,36,10.84,Partner,Debt_Consolidation,39,GA,31,0
752,126286,0.47,16,0.02,1,6909,60,13.53,Partner,Business,17,FL,35,0
758,152707,0.09,2,0.5,5,8668,60,33.7,Mail,Auto,28,IL,45,0
564,146345,0.09,2,0.38,3,45362,36,29.0,Direct,Debt_Consolidation,16,PA,36,0
641,144926,0.25,6,0.89,4,12978,36,19.97,Direct,Home_Improvement,13,Other,35,0
802,180911,0.01,17,0.96,7,25326,60,14.46,Mail,Auto,17,IL,52,1
615,34194,0.42,13,0.48,8,3134,60,15.42,Mail,Auto,7,NY,65,1
682,69060,0.44,7,0.27,9,23485,36,10.52,Direct,Debt_Consolidation,23,NC,75,0
601,90765,0.64,17,0.43,6,13849,36,29.0,Partner,Debt_Consolidation,26,CA,52,0
840,32506,0.32,5,0.06,4,32230,36,18.5,Direct,Debt_Consolidation,16,IL,43,1
844,190358,0.52,5,0.98,4,24272,36,25.2,Direct,Home_Improvement,24,Other,60,1
842,126108,0.68,2,0.08,5,15956,36,14.51,Direct,Personal,17,OH,49,0
635,68204,0.68,4,0.73,10,17491,36,11.32,Direct,Personal,30,Other,56,0
749,101099,0.18,9,0.44,2,9603,60,30.16,Direct,Home_Improvement,20,Other,51,0
826,66409,0.47,14,0.63,,37961,36,20.7,Partner,Debt_Consolidation,34,FL,35,0
619,110147,0.23,17,0.01,7,32265,36,5.27,Direct,Personal,0,TX,56,0
749,119184,0.18,2,0.42,3,34856,60,29.23,Partner,Personal,17,NC,47,1
801,69227,0.26,4,0.05,8,2450,36,34.17,Direct,Personal,,NY,35,1
805,117359,0.37,1,0.33,2,4672,36,28.27,Direct,Debt_Consolidation,16,TX,73,0
567,72213,0.37,3,0.52,3,31987,36,25.44,Direct,Debt_Consolidation,2,OH,68,0
576,194770,0.17,3,0.24,6,22267,36,10.02,Direct,Personal,0,NC,23,0
723,183874,0.05,11,0.64,8,8038,36,19.64,Direct,Home_Improvement,22,OH,72,0
678,30351,0.39,14,0.56,8,46681,60,10.69,Direct,Debt_Consolidation,17,GA,74,1
782,20188,0.62,16,0.38,2,2226,60,30.7,Partner,Personal,34,GA,73,0
715,127427,0.51,3,0.1,10,5369,36,30.06,Direct,Auto,31,TX,33,0
737,77861,0.48,2,0.01,3,43975,60,32.85,Partner,Debt_Consolidation,23,OH,56,0
686,158679,0.03,2,0.83,1,15149,60,7.91,Partner,Debt_Consolidation,33,TX,63,1
733,196814,0.37,13,0.88,2,12822,60,17.05,Direct,Personal,28,Other,43,0
770,104790,0.49,18,0.55,6,37060,36,15.8,Direct,Business,2,CA,39,0
561,92340,0.74,16,0.56,9,11139,36,6.13,Direct,Personal,37,FL,36,1
589,105116,0.63,5,0.49,9,7249,60,24.27,Direct,Auto,3,NY,70,0
555,186169,0.62,12,0.05,8,3698,36,21.2,Direct,Debt_Consolidation,3,TX,64,0
663,133229,0.23,12,0.15,5,6409,60,22.14,Direct,Debt_Consolidation,32,CA,48,1
818,84551,0.19,8,0.78,5,45874,60,7.69,Partner,Debt_Consolidation,20,FL,43,0
776,183363,0.12,1,0.92,3,14086,36,9.68,Partner,Personal,,GA,60,0
561,106999,0.17,17,0.21,8,35292,36,21.46,Partner,Business,1,GA,45,0
688,33915,0.37,0,0.07,10,18780,36,30.93,Direct,Auto,14,OH,45,0
784,166980,0.74,0,0.04,8,20983,36,19.7,Partner,Personal,22,GA,61,1
681,121494,0.71,0,0.94,4,15783,36,15.25,Direct,Personal,33,GA,64,1
718,137747,0.43,6,0.65,9,36478,36,30.88,Direct,Home_Improvement,8,PA,48,0
712,37777,0.45,3,0.18,2,48649,36,27.96,Mail,Debt_Consolidation,28,NY,68,0
686,178755,0.45,7,0.6,3,46047,36,15.78,Partner,Debt_Consolidation,38,PA,51,0
648,79316,0.03,0,0.93,6,15585,36,27.73,Direct,Business,39,Other,52,0
710,123324,0.49,18,0.59,8,43034,36,20.62,Direct,Auto,15,CA,54,0
575,69768,0.23,12,0.88,4,31234,36,17.67,Partner,Personal,9,PA,50,0
619,123040,0.33,14,0.02,7,39686,36,31.48,Direct,Debt_Consolidation,10,OH,66,0
746,154130,0.49,5,0.38,6,3877,36,32.37,Partner,Home_Improvement,9,TX,32,1
617,73176,0.0,8,0.01,7,33679,60,29.22,Partner,Debt_Consolidation,30,TX,50,0
835,74430,0.04,4,0.06,5,3406,36,30.61,Partner,Auto,5,FL,24,1
837,66509,0.77,18,0.36,0,7103,36,14.68,Mail,Auto,35,NC,25,1
818,75009,0.56,19,0.06,9,48823,60,34.62,Direct,Home_Improvement,18,Other,48,0
816,185637,0.4,5,0.88,3,47437,36,34.38,Direct,Personal,7,OH,68,0
836,187117,0.17,20,0.2,4,17673,36,14.23,Partner,Debt_Consolidation,21,CA,42,0
795,144387,0.64,20,0.14,2,42104,60,31.76,Partner,Debt_Consolidation,26,NC,68,1
559,74594,0.46,10,0.8,5,5339,36,13.41,Direct,Business,10,OH,57,1
689,128493,0.07,7,0.37,4,15164,60,14.07,Direct,Auto,5,NC,49,0
797,157265,0.25,10,0.14,1,34826,36,11.16,Direct,Debt_Consolidation,7,Other,21,0
709,25893,,9,0.64,3,22029,36,10.78,Direct,Debt_Consolidation,7,NY,38,1
655,162220,0.28,10,0.27,4,38623,36,10.14,Direct,Auto,3,PA,29,1
778,181563,0.28,10,0.82,10,35962,36,34.21,Partner,Debt_Consolidation,29,CA,27,0
664,57675,0.69,19,0.26,5,26695,36,25.99,Partner,Auto,29,Other,52,1
615,153155,0.08,3,0.33,10,5648,36,20.98,Direct,Debt_Consolidation,35,OH,31,0
772,168691,0.63,17,0.69,2,44424,36,27.18,Partner,Auto,38,CA,50,0
744,105828,0.4,1,0.09,2,39061,36,27.71,Partner,Debt_Consolidation,39,FL,57,0
705,133961,0.57,11,0.99,9,1532,60,34.59,Direct,Personal,23,FL,56,0
771,174707,0.32,10,0.71,6,26006,36,21.35,Partner,Debt_Consolidation,24,TX,74,0
618,23041,0.06,0,0.14,7,44117,36,34.25,Direct,Personal,29,MI,71,0
665,68704,0.34,0,0.58,3,47670,60,13.08,Mail,Home_Improvement,2,CA,57,0
819,93248,0.37,2,0.52,9,6796,36,19.17,Partner,Business,40,CA,55,1
790,170461,0.59,13,0.35,4,19953,36,6.06,Mail,Home_Improvement,36,GA,37,1
563,95187,0.39,4,0.51,4,17518,36,23.47,Direct,Personal,38,NC,32,0
642,158251,0.69,10,0.98,2,40029,36,30.13,Partner,Debt_Consolidation,28,NY,67,0
609,33768,0.13,12,0.48,7,49899,60,12.01,Partner,Debt_Consolidation,33,TX,48,0
822,187096,0.28,13,0.61,10,18864,36,13.11,Partner,Personal,29,IL,70,0
642,102121,0.44,0,0.83,0,27951,36,20.76,Partner,Debt_Consolidation,16,GA,33,1
612,51451,0.07,19,0.13,10,43461,60,29.1,Direct,Personal,18,TX,50,0
715,87459,0.13,2,0.28,0,26087,36,14.98,Direct,Business,28,TX,25,0
661,180947,0.51,14,0.72,1,3284,36,7.11,Partner,Auto,,CA,30,0
